Henry IV
Hamlet
# of Unique Words: 5384

HAMLET......#lines:358......#words:11622
HORATIO......#lines:110......#words:2041
KING CLAUDIUS......#lines:102......#words:4081
LORD POLONIUS......#lines:86......#words:2674
QUEEN GERTRUDE......#lines:69......#words:1050

-------------------------------------------------------
Henry V
# of Unique Words: 5075

KING HENRY V......#lines:145......#words:8332
FLUELLEN......#lines:68......#words:2492
PISTOL......#lines:62......#words:1121
Constable......#lines:40......#words:921
KATHARINE......#lines:33......#words:438

-------------------------------------------------------
Henry VIII
# of Unique Words: 4190

KING HENRY VIII......#lines:81......#words:3548
CARDINAL WOLSEY......#lines:79......#words:3212
NORFOLK......#lines:48......#words:1472
Chamberlain......#lines:38......#words:1099
Second Gentleman......#lines:36......#words:741

-------------------------------------------------------
King John
# of Unique Words: 3988

KING JOHN......#lines:95......#words:3313
BASTARD......#lines:89......#words:4063
HUBERT......#lines:52......#words:1027
KING PHILIP......#lines:43......#words:1475
CONSTANCE......#lines:36......#words:2112

-------------------------------------------------------
Julius Caesar
# of Unique Words: 3288

BRUTUS......#lines:192......#words:5416
CASSIUS......#lines:138......#words:3857
ANTONY......#lines:51......#words:2540
CAESAR......#lines:39......#words:999
CASCA......#lines:39......#words:1052

-------------------------------------------------------
King Lear
# of Unique Words: 4785

KING LEAR......#lines:186......#words:5581
KENT......#lines:127......#words:2600
GLOUCESTER......#lines:118......#words:2531
EDGAR......#lines:98......#words:2860
EDMUND......#lines:79......#words:2367

-------------------------------------------------------
Loves Labours Lost
# of Unique Words: 4299

BIRON......#lines:158......#words:4810
FERDINAND......#lines:117......#words:2387
PRINCESS......#lines:103......#words:2168
ADRIANO DE ARMADO......#lines:100......#words:1941
COSTARD......#lines:83......#words:1564

-------------------------------------------------------
macbeth
# of Unique Words: 3789

MACBETH......#lines:145......#words:5320
LADY MACBETH......#lines:59......#words:1891
MACDUFF......#lines:59......#words:1156
MALCOLM......#lines:40......#words:1513
ROSS......#lines:39......#words:905

-------------------------------------------------------
Measure for measure
# of Unique Words: 3773

DUKE VINCENTIO......#lines:193......#words:6592
ISABELLA......#lines:129......#words:3015
LUCIO......#lines:111......#words:2366
ANGELO......#lines:82......#words:2381
ESCALUS......#lines:79......#words:1419

-------------------------------------------------------
Merchant of Venice
# of Unique Words: 3666

PORTIA......#lines:117......#words:4655
SHYLOCK......#lines:79......#words:2874
BASSANIO......#lines:73......#words:2593
GRATIANO......#lines:48......#words:1374
ANTONIO......#lines:47......#words:1440

-------------------------------------------------------
Merry Wives of Windsor
# of Unique Words: 3689

FALSTAFF......#lines:135......#words:3687
MISTRESS PAGE......#lines:102......#words:2522
FORD......#lines:99......#words:2530
SIR HUGH EVANS......#lines:87......#words:1791
MISTRESS FORD......#lines:84......#words:1301

-------------------------------------------------------
A Midsummer nights dream
# of Unique Words: 3398

LYSANDER......#lines:50......#words:1396
BOTTOM......#lines:50......#words:1651
THESEUS......#lines:48......#words:1723
DEMETRIUS......#lines:48......#words:1071
HERMIA......#lines:47......#words:1276

-------------------------------------------------------

Much Ado about nothing
# of Unique Words: 3372

DON PEDRO......#lines:135......#words:2467
BENEDICK......#lines:134......#words:3747
CLAUDIO......#lines:124......#words:2064
LEONATO......#lines:120......#words:2633
BEATRICE......#lines:106......#words:2362

-------------------------------------------------------
Othello
# of Unique Words: 4349

OTHELLO......#lines:273......#words:6232
IAGO......#lines:271......#words:8376
DESDEMONA......#lines:165......#words:2748
CASSIO......#lines:109......#words:1959
EMILIA......#lines:103......#words:1811

-------------------------------------------------------
Pericles
# of Unique Words: 3747

PERICLES......#lines:121......#words:4601
MARINA......#lines:63......#words:1269
Bawd......#lines:43......#words:844
SIMONIDES......#lines:41......#words:1120
LYSIMACHUS......#lines:39......#words:719

-------------------------------------------------------
Richard II
# of Unique Words: 4147

KING RICHARD II......#lines:98......#words:5986
HENRY BOLINGBROKE......#lines:90......#words:3113
DUKE OF YORK......#lines:54......#words:2238
DUKE OF AUMERLE......#lines:38......#words:676
NORTHUMBERLAND......#lines:38......#words:1105

-------------------------------------------------------
Richard III
# of Unique Words: 4652

GLOUCESTER......#lines:162......#words:5412
KING RICHARD III......#lines:138......#words:3536
QUEEN ELIZABETH......#lines:97......#words:2133
BUCKINGHAM......#lines:90......#words:2733
LADY ANNE......#lines:50......#words:1188

-------------------------------------------------------
Romeo and Juliet
# of Unique Words: 4233

ROMEO......#lines:162......#words:4672
JULIET......#lines:118......#words:4264
Nurse......#lines:89......#words:2121
BENVOLIO......#lines:64......#words:1153
MERCUTIO......#lines:62......#words:2094

-------------------------------------------------------
Taming of the Shrew
# of Unique Words: 3672

PETRUCHIO......#lines:157......#words:4625
TRANIO......#lines:91......#words:2259
KATHARINA......#lines:81......#words:1736
HORTENSIO......#lines:69......#words:1576
BAPTISTA......#lines:68......#words:1314

-------------------------------------------------------
The Tempest
# of Unique Words: 3651

PROSPERO......#lines:112......#words:4935
SEBASTIAN......#lines:67......#words:717
STEPHANO......#lines:60......#words:1298
ANTONIO......#lines:57......#words:981
GONZALO......#lines:52......#words:1214

-------------------------------------------------------
Timon of Athens
# of Unique Words: 3809

TIMON......#lines:207......#words:6018
APEMANTUS......#lines:97......#words:1807
FLAVIUS......#lines:40......#words:1902
ALCIBIADES......#lines:38......#words:1179
Poet......#lines:30......#words:721

-------------------------------------------------------
Titus Andronicus
# of Unique Words: 3835

TITUS ANDRONICUS......#lines:118......#words:5765
MARCUS ANDRONICUS......#lines:62......#words:1992
AARON......#lines:57......#words:2818
LUCIUS......#lines:51......#words:1463
SATURNINUS......#lines:49......#words:1595

-------------------------------------------------------
Troilus and Cressida
# of Unique Words: 4845

PANDARUS......#lines:153......#words:3147
CRESSIDA......#lines:152......#words:2109
TROILUS......#lines:131......#words:3950
THERSITES......#lines:90......#words:2287
ULYSSES......#lines:80......#words:3522

-------------------------------------------------------
Twelfth Night
# of Unique Words: 3560

SIR TOBY BELCH......#lines:152......#words:2685
VIOLA......#lines:121......#words:2564
OLIVIA......#lines:118......#words:2303
Clown......#lines:104......#words:2440
SIR ANDREW......#lines:88......#words:1159

-------------------------------------------------------
Two Gentlemen of Verona
# of Unique Words: 3121

VALENTINE......#lines:149......#words:2821
PROTEUS......#lines:147......#words:3257
SPEED......#lines:117......#words:1468
JULIA......#lines:106......#words:2441
LAUNCE......#lines:68......#words:1838

-------------------------------------------------------
A Winters Tale
# of Unique Words: 4454

LEONTES......#lines:125......#words:4846
CAMILLO......#lines:72......#words:2085
AUTOLYCUS......#lines:66......#words:2398
Clown......#lines:64......#words:1589
PAULINA......#lines:59......#words:2362

-------------------------------------------------------
